1.4374,1.1138,1.4575,1.1561,1.4561
0.00016359,-0.0006605,-3.9783,3.3358e-05,3.9674
-0.35964,2.5512,1.3055,-3.1004,1.3012
1.384,1.7526,-4.1375,-0.022662,-4.1207
3.2286,-3.1063,0.18296,-2.9856,0.18093
-1.6163,-1.2565,-21.446,-1.2639,-4.7057
0.98903,0.76958,-6.1213,0.77466,21.687
-6.885,-7.0509,6.7199,-7.0724,6.8019
0.086045,-13.104,-0.053756,12.537,-0.056695
-9.9413,10.183,2.0483,10.704,2.0766
-0.049568,0.005002,6.4141,0.0014155,-6.4808
-13.384,-3.2307,-3.8856,-3.4226,-3.8666
5.6965,3.4591,-1.8165,4.3379,-1.8171
-0.45612,-5.581,0.10727,5.1962,0.10734
4.1051,-1.9305,-0.058933,-1.8951,-0.058964
