-0.92574,-0.049445,-99.595
0.48839,0.022252,7.4684
-0.0027986,0.00254,-0.14298
-0.57939,-0.028665,-22.069
-0.0042531,0.0028045,-0.20694
0.0016431,-0.0028488,0.09797
-0.82042,-0.039167,-28.482
-0.083536,-0.019426,-3.356
0.824,0.035653,41.755
0.58579,0.026653,22.869
-0.01651,0.016474,-1.5015
-0.00070796,0.016756,-0.45225
-1.4639,-0.060846,-62.338
-0.70753,-0.028488,-42.635
-0.021661,0.0016761,-2.1754
0.76593,0.013761,74.53
-0.52541,-0.011935,-48.672
-0.036346,-0.0029012,-3.7007
-0.0073473,-0.0016116,-0.70272
-0.81384,-0.0060655,-76.972
0.38649,0.022171,19.765
-0.54601,-0.0031251,-48.259
1.0322,0.024901,92.71
-0.43843,0.0092406,-79.401
0.14792,-0.0011199,49.028
0.26466,-0.00098708,19.276
-1.1606,-0.021408,-90.651
0.61079,0.015471,-12.89
0.0012402,-0.00036728,0.25017
-0.020278,-0.013306,-23.945
0.22914,0.012726,68.13
-0.33177,-0.01428,83.65
-0.095639,-0.006945,31.822
0.19479,-0.0024171,-115.08
0.0054384,0.0005828,6.9193
0.0019924,0.00058685,10.572
0.013553,-0.00044988,131.87
0.0058002,0.004242,-111.3
-0.036092,-0.0060161,206.12
0.012836,-0.0024998,55.976
0.018593,0.0011118,45.784
-0.063777,-0.0033978,55.784
0.00090085,-0.0029236,-2.4909
-0.0038855,-0.0038104,30.543
-0.021113,-0.0037784,154.77
-0.73225,-0.032051,-3.4701
-0.023684,0.00065654,97.097
-0.07532,-0.0029846,9.5162
0.18486,0.017499,41.472
-0.14009,-0.003962,8.7273
0.069002,-0.0019499,-2.1247
0.043011,-0.00044079,-1.4106
-0.0017069,0.0006437,-0.043398
-0.01943,0.00079719,0.11495
