"x1","x2","x3","x4","x5","x6","x7","x8"
1.0,-0.014793718351783182,-0.014736827090072839,-0.020384866282924498,-0.026032905475766498,-0.04082662382752314,-0.21041681853088842,-0.2253
2.0,-0.017990617852165484,-0.01795448753727078,-0.02359629136704238,-0.029238095196813106,-0.04722871304900318,-0.12039892256335709,-0.13693
3.0,-0.02036759850098535,-0.02035658780363019,-0.02652311891209777,-0.032689650020563406,-0.05305724852157713,-0.19184898718142412,-0.21021
4.0,-0.02175979618302669,-0.021777063162099326,-0.028555923280854784,-0.03533478339959662,-0.057094579582669586,-0.060977549750068666,-0.08137
5.0,-0.02294078463118528,-0.023045107849557316,-0.031692493852238046,-0.040339879854921205,-0.06328066448623129,-0.0780004735380484,-0.10065
6.0,-0.0063185371213405825,-0.006237381378282854,-0.010632925508059263,-0.015028469637780715,-0.021347006759128706,-0.007837749218002038,-0.024183
7.0,-0.018164441931680198,-0.018158864143391337,-0.02420188705601061,-0.030244909968645494,-0.04840935190031352,-0.003970363047493888,-0.022123
8.0,-0.020921449187491066,-0.020944887540297993,-0.027684040580290527,-0.03442319362020965,-0.05534464280769142,0.0251277266364116,0.0049664
9.0,-0.02120565752604389,-0.02126127179986317,-0.028861491472968334,-0.03646171114616709,-0.05766736867221314,-0.13361595399824377,-0.15601
10.0,-0.022271967754438567,-0.02241700339475255,-0.031711304175149294,-0.041005604955501956,-0.06327757270991224,-0.10136614427535146,-0.12624
11.0,-0.020496348414919353,-0.020559843217159663,-0.028231709877549797,-0.03590357653791357,-0.0563999249528696,-0.05639880447167111,-0.075453
12.0,0.00352909043955529,0.0037566638314846116,0.004512277680622495,0.005267891529723679,0.008796981969248528,0.02518478932253546,0.018864
13.0,-0.013011315068990267,-0.012905431364910689,-0.016477271492111603,-0.020049111619295994,-0.03306042668822054,-0.047811606860032135,-0.054826
14.0,-0.0022662596908630678,-0.002097679712448114,-0.0024284564055405042,-0.0027592330986247865,-0.005025492789529155,-0.00502482210890026,-0.0088405
15.0,0.011081060560434848,0.01129984292821513,0.01522450669237006,0.019149170456597288,0.03023023101714676,0.030231584108182087,0.029479
16.0,0.03812748142742019,0.038339163676883205,0.04169324355699183,0.04504732343714177,0.08317480486439667,0.1359159823478165,0.1358
17.0,0.00896587797741195,0.00916952743448574,0.011943248212607602,0.014716968990753573,0.02368284696829524,0.02004356722109819,0.019923
18.0,0.008302923928606466,0.008503157121265578,0.011105703875235372,0.01370825062924793,0.022011174557919663,0.049420561246408604,0.049295
19.0,0.007854038557007854,0.008050932146308273,0.010500473205548816,0.012950014264890662,0.020804052821807598,0.04855236612548487,0.048421
20.0,0.007413427503604013,0.00760714863551463,0.009919672951008056,0.012232197266665657,0.019645624770361136,0.001459751024373901,0.0013217
21.0,0.007095302955402501,0.007285789096465094,0.00947272084028324,0.011659652584104698,0.018754955539615953,0.007514077843389644,0.0073689
22.0,0.006970249223514986,0.007157282045355473,0.009224795515428291,0.01129230898560224,0.018262558209131075,0.11496290451818296,0.11481
23.0,0.006609028994450462,0.006792824211231669,0.008746044187546908,0.010699264163900558,0.017308293158451157,0.07844551492617756,0.078283
24.0,0.006289003567654734,0.006469686403259653,0.008314459561212243,0.010159232719243166,0.016448236286940962,0.05875972209885137,0.058586
25.0,0.005943886830104352,0.006121529834920794,0.007861700492485267,0.009601871150149554,0.015545757980266632,0.018439440261474087,0.018253
26.0,0.005677934808391932,0.0058524661597601745,0.007491266507838955,0.009130066855994552,0.014808001664494398,0.020211376223526624,0.020011
27.0,0.0054164559493009995,0.005588006759547924,0.007128519011281906,0.008669031263120464,0.01408548721237416,0.0197107061647468,0.019495
28.0,0.005225648242555118,0.005394179519372153,0.0068392019080136405,0.008284224296763763,0.01350987253938643,0.05610160615306575,0.055869
29.0,0.005032203460160856,0.005197976941515328,0.006552325340837971,0.007906673740273071,0.012938877200517403,0.08258467214128656,0.082333
30.0,0.0047806115245116465,0.004944208400994471,0.006217380385909964,0.007490552370922022,0.012271163895283783,0.07054543364231976,0.070272
31.0,0.004464794634841618,0.004626206026223547,0.0058223572869149105,0.007018508547704106,0.011483303182564993,0.013834980359263256,0.013537
32.0,0.0042759051858064605,0.004435164968230647,0.005559034304299049,0.00668290364046515,0.010958808826231781,0.02762497263772361,0.0273
33.0,0.004126569578733676,0.004283653416025256,0.005338427387052933,0.006393201358177536,0.010519770936770449,0.06426587476861914,0.063911
34.0,0.004029065256368893,0.004183989672322136,0.005170238153781254,0.006156486635337756,0.010185551891929248,0.13454843059742824,0.13416
